ros_timestamp_ns,system_timestamp_ns,openarm_right_joint1,openarm_right_joint3,openarm_right_joint4,openarm_left_joint6,openarm_left_joint5,openarm_left_joint2,openarm_left_joint7,openarm_left_joint4,openarm_right_joint5,openarm_left_joint1,openarm_right_joint2,openarm_left_joint3,openarm_right_joint7,openarm_right_joint6
1778210887056565184,1778210887062134049,-0.10471503776607882,-0.1749065384908821,0.11005569542992255,-0.22831311512932118,0.19779507133592666,-0.019264515144579164,0.12264438849469705,0.33398184176394174,0.1863508049134044,0.09861142900740028,0.022697795071335847,-0.3953994048981464,-0.02040894178683139,-0.09250782024872173
1778210887077211256,1778210887082157785,-0.103952086671244,-0.1749065384908821,0.11005569542992255,-0.22831311512932118,0.19741359578850926,-0.017738612954909527,0.12264438849469705,0.33360036621652434,0.1863508049134044,0.10013733119706991,0.023460746166170665,-0.3953994048981464,-0.022316319523918438,-0.09098191805905209
1778210887092445993,1778210887102151381,-0.10166323338673955,-0.1749065384908821,0.11005569542992255,-0.22831311512932118,0.1951247425040048,-0.0165941863126573,0.12264438849469705,0.33360036621652434,0.18596932936598698,0.10318913557640919,0.024223697261005483,-0.3953994048981464,-0.02193484397650103,-0.09021896696421727
1778210887112852491,1778210887122194604,-0.10013733119706991,-0.1749065384908821,0.11005569542992255,-0.22831311512932118,0.19436179140916998,-0.015449759670405072,0.12264438849469705,0.33360036621652434,0.18406195162889993,0.10547798886091364,0.024986648355840302,-0.3953994048981464,-0.02193484397650103,-0.08983749141679986
1778210887134032587,1778210887142126971,-0.09708552681773064,-0.1749065384908821,0.11005569542992255,-0.22831311512932118,0.19436179140916998,-0.013923857480735435,0.12264438849469705,0.33360036621652434,0.18368047608148252,0.1081483176928355,0.02536812390325771,-0.3953994048981464,-0.02193484397650103,-0.08983749141679986
1778210887152160651,1778210887162328866,-0.09479667353322618,-0.1749065384908821,0.11005569542992255,-0.22831311512932118,0.19436179140916998,-0.013542381933318026,0.12302586404211446,0.3320744640268547,0.18329900053406512,0.10967421988250514,0.02574959945067512,-0.3953994048981464,-0.02155336842908362,-0.08983749141679986
1778210887175934570,1778210887182430952,-0.08983749141679986,-0.17376211184862989,0.11005569542992255,-0.22869459067673858,0.19436179140916998,-0.013542381933318026,0.12302586404211446,0.3290226596475154,0.1825360494392303,0.11158159761959219,0.027656977187762166,-0.3953994048981464,-0.02193484397650103,-0.08869306477454764
1778210887192262330,1778210887202199118,-0.08525978484779095,-0.17185473411154284,0.11005569542992255,-0.22869459067673858,0.19436179140916998,-0.013542381933318026,0.12378881513694928,0.32597085526817615,0.1821545738918129,0.11387045090409664,0.028419928282596985,-0.3953994048981464,-0.02193484397650103,-0.087167162584878
1778210887213463189,1778210887222248500,-0.08144502937361686,-0.1699473563744558,0.11005569542992255,-0.22869459067673858,0.19436179140916998,-0.013542381933318026,0.12340733958953187,0.3248264286259239,0.17986572060730843,0.11654077973601851,0.029182879377431803,-0.3953994048981464,-0.02193484397650103,-0.087167162584878
1778210887232445955,1778210887242176506,-0.07763027389944277,-0.16880292973220357,0.11005569542992255,-0.22869459067673858,0.19436179140916998,-0.013542381933318026,0.12378881513694928,0.3248264286259239,0.17948424505989102,0.11997405966277519,0.02994583047226662,-0.3953994048981464,-0.02193484397650103,-0.087167162584878
1778210887252733676,1778210887262183421,-0.07228961623559904,-0.16842145418478616,0.11005569542992255,-0.22869459067673858,0.19436179140916998,-0.013542381933318026,0.12340733958953187,0.3248264286259239,0.17910276951247361,0.12264438849469705,0.03032730601968403,-0.3953994048981464,-0.02193484397650103,-0.087167162584878
1778210887275023226,1778210887282159618,-0.06580453192950309,-0.16842145418478616,0.11043717097733996,-0.22869459067673858,0.19436179140916998,-0.013923857480735435,0.12569619287403633,0.3233005264362543,0.17757686732280398,0.12607766842145374,0.03070878156710144,-0.3953994048981464,-0.02193484397650103,-0.087167162584878
1778210887296200303,1778210887302255795,-0.061608300907911584,-0.16842145418478616,0.1119630731670096,-0.22831311512932118,0.19436179140916998,-0.013923857480735435,0.12760357061112337,0.3206301976043324,0.17605096513313434,0.12798504615854078,0.03070878156710144,-0.3953994048981464,-0.02193484397650103,-0.087167162584878
1778210887316791665,1778210887322162714,-0.05741206988632008,-0.16727702754253393,0.11387045090409664,-0.22793163958190377,0.1947432669565874,-0.013923857480735435,0.13065537499046265,0.31681544213015833,0.17566948958571693,0.13141832608529747,0.03109025711451885,-0.3953994048981464,-0.02155336842908362,-0.087167162584878
1778210887337097854,1778210887342222224,-0.05321583886472858,-0.16536964980544688,0.11577782864118369,-0.22793163958190377,0.1947432669565874,-0.013923857480735435,0.13103685053788006,0.31414511329823647,0.17528801403829952,0.13370717936980192,0.03109025711451885,-0.3953994048981464,-0.02155336842908362,-0.087167162584878
1778210887358211879,1778210887362139982,-0.051308461127641536,-0.16117341878385538,0.11844815747310555,-0.22831311512932118,0.1947432669565874,-0.013923857480735435,0.13103685053788006,0.3122377355611494,0.17528801403829952,0.1371404592965586,0.03109025711451885,-0.3953994048981464,-0.02155336842908362,-0.087167162584878
1778210887372999808,1778210887382649918,-0.04901960784313708,-0.15964751659418575,0.1203555352101926,-0.22831311512932118,0.1947432669565874,-0.013542381933318026,0.13141832608529747,0.311856260013732,0.17528801403829952,0.14019226367589788,0.03109025711451885,-0.3953994048981464,-0.018883039597161755,-0.087167162584878
1778210887394197581,1778210887402192681,-0.046349279011215216,-0.15621423666742906,0.12226291294727964,-0.22793163958190377,0.1947432669565874,-0.013160906385900617,0.13447013046463674,0.311856260013732,0.17528801403829952,0.14400701915007197,0.03147173266193626,-0.3953994048981464,-0.017738612954909527,-0.08678568703746059
1778210887412649105,1778210887422238042,-0.04367895017929335,-0.15468833447775943,0.12417029068436669,-0.22793163958190377,0.1947432669565874,-0.013542381933318026,0.13561455710688897,0.3107118333714798,0.1749065384908821,0.14705882352941124,0.03147173266193626,-0.3953994048981464,-0.018120088502326936,-0.08678568703746059
